Hex	Rank	Emoji	Year	Category	Subcategory	Name
\x{1F19A}	781	🆚	2010	Symbols	alphanum	VS button
\x{1F9E8}	782	🧨	2018	Activities	event	firecracker
\x{1F4C9}	783	📉	2014	Objects	office	chart decreasing
\x{1F5E8 FE0F}	784	🗨️	2014	Smileys & Emotion	emotion	left speech bubble
\x{1F6D2}	785	🛒	2016	Objects	household	shopping cart
\x{1F4DB}	786	📛	2014	Symbols	other-symbol	name badge
\x{1F1F3 1F1F1}	787	🇳🇱	2010	Flags	country-flag	flag: Netherlands
\x{1F43F FE0F}	788	🐿️	2014	Animals & Nature	animal-mammal	chipmunk
\x{1F17E FE0F}	789	🅾️	2010	Symbols	alphanum	O button (blood type)
\x{2622 FE0F}	790	☢️	1995	Symbols	warning	radioactive
\x{1F1F2 1F1E6}	791	🇲🇦	2010	Flags	country-flag	flag: Morocco
\x{1F403}	792	🐃	2014	Animals & Nature	animal-mammal	water buffalo
\x{26FD}	793	⛽	2009	Travel & Places	transport-ground	fuel pump
\x{1F17F FE0F}	794	🅿️	2010	Symbols	alphanum	P button
\x{1F987}	795	🦇	2016	Animals & Nature	animal-mammal	bat
\x{2934 FE0F}	796	⤴️	2002	Symbols	arrow	right arrow curving up
\x{26F5}	797	⛵	2009	Travel & Places	transport-water	sailboat
\x{1F45E}	798	👞	2014	Objects	clothing	man’s shoe
\x{1F513}	799	🔓	2015	Objects	lock	unlocked
\x{1F9DE}	800	🧞	2017	People & Body	person-fantasy	genie
\x{26F0 FE0F}	801	⛰️	2009	Travel & Places	place-geographic	mountain
\x{1F4CE}	802	📎	2014	Objects	office	paperclip
\x{1F98E}	803	🦎	2016	Animals & Nature	animal-reptile	lizard
\x{1F50C}	804	🔌	2015	Objects	computer	electric plug
\x{1F3F3 FE0F}	805	🏳️	2014	Flags	flag	white flag
\x{1F6BD}	806	🚽	2010	Objects	household	toilet
\x{1F372}	807	🍲	2014	Food & Drink	food-prepared	pot of food
\x{1F94E}	808	🥎	2018	Activities	sport	softball
\x{2692 FE0F}	809	⚒️	2005	Objects	tool	hammer and pick
\x{264A}	810	♊	1995	Symbols	zodiac	Gemini
\x{1F462}	811	👢	2014	Objects	clothing	woman’s boot
\x{1F9D9}	812	🧙	2017	People & Body	person-fantasy	mage
\x{1F1F5 1F1F1}	813	🇵🇱	2010	Flags	country-flag	flag: Poland
\x{26EA}	814	⛪	2009	Travel & Places	place-religious	church
\x{1F1E7 1F1EA}	815	🇧🇪	2010	Flags	country-flag	flag: Belgium
\x{1F38E}	816	🎎	2014	Activities	event	Japanese dolls
\x{1F516}	817	🔖	2015	Objects	book-paper	bookmark
\x{1F50B}	818	🔋	2015	Objects	computer	battery
\x{1F4E1}	819	📡	2014	Objects	science	satellite antenna
\x{1F307}	820	🌇	2010	Travel & Places	place-other	sunset
\x{1F3C9}	821	🏉	2014	Activities	sport	rugby football
\x{1F46A}	822	👪	2014	People & Body	family	family
\x{1F456}	823	👖	2014	Objects	clothing	jeans
\x{1F4CA}	824	📊	2014	Objects	office	bar chart
\x{1F406}	825	🐆	2014	Animals & Nature	animal-mammal	leopard
\x{1F501}	826	🔁	2015	Symbols	av-symbol	repeat button
\x{1F6E9 FE0F}	827	🛩️	2014	Travel & Places	transport-air	small airplane
\x{1F421}	828	🐡	2014	Animals & Nature	animal-marine	blowfish
\x{1F0CF}	829	🃏	2010	Activities	game	joker
\x{1F469 200D 1F4BB}	830	👩‍💻	2016	People & Body	person-role	woman technologist
\x{1F329 FE0F}	831	🌩️	2014	Travel & Places	sky & weather	cloud with lightning
\x{1F1F3 1F1EC}	832	🇳🇬	2010	Flags	country-flag	flag: Nigeria
\x{1F40F}	833	🐏	2014	Animals & Nature	animal-mammal	ram
\x{36 FE0F 20E3}	834	6️⃣	2010	Symbols	keycap	keycap: 6
\x{26F9 FE0F}	835	⛹️	2009	People & Body	person-sport	person bouncing ball
\x{1F5EF FE0F}	836	🗯️	2014	Smileys & Emotion	emotion	right anger bubble
\x{1F1E8 1F1ED}	837	🇨🇭	2010	Flags	country-flag	flag: Switzerland
\x{1F362}	838	🍢	2014	Food & Drink	food-asian	oden
\x{1F5FA FE0F}	839	🗺️	2014	Travel & Places	place-map	world map
\x{1F695}	840	🚕	2010	Travel & Places	transport-ground	taxi
\x{1F1F7 1F1FA}	841	🇷🇺	2010	Flags	country-flag	flag: Russia
\x{24C2 FE0F}	842	Ⓜ️	1995	Symbols	alphanum	circled M
\x{26F1 FE0F}	843	⛱️	2009	Travel & Places	sky & weather	umbrella on ground
\x{1F9B6}	844	🦶	2018	People & Body	body-parts	foot
\x{1F3EB}	845	🏫	2014	Travel & Places	place-building	school
\x{1F4C0}	846	📀	2014	Objects	computer	dvd
\x{1F199}	847	🆙	2010	Symbols	alphanum	UP! button
\x{1F96D}	848	🥭	2018	Food & Drink	food-fruit	mango
\x{1F93C}	849	🤼	2016	People & Body	person-sport	people wrestling
\x{1F428}	850	🐨	2014	Animals & Nature	animal-mammal	koala
\x{1F982}	851	🦂	2015	Animals & Nature	animal-bug	scorpion
\x{1F4B7}	852	💷	2014	Objects	money	pound banknote
\x{1F948}	853	🥈	2016	Activities	award-medal	2nd place medal
\x{1F468 200D 1F4BB}	854	👨‍💻	2016	People & Body	person-role	man technologist
\x{1F6CF FE0F}	855	🛏️	2014	Objects	household	bed
\x{25FC FE0F}	856	◼️	2002	Symbols	geometric	black medium square
\x{1F684}	857	🚄	2010	Travel & Places	transport-ground	high-speed train
\x{1F9D6}	858	🧖	2017	People & Body	person-activity	person in steamy room
\x{1F3A0}	859	🎠	2014	Travel & Places	place-other	carousel horse
\x{1F401}	860	🐁	2014	Animals & Nature	animal-mammal	mouse
\x{1F5F3 FE0F}	861	🗳️	2014	Objects	mail	ballot box with ballot
\x{1F3EE}	862	🏮	2014	Objects	light & video	red paper lantern
\x{1F96A}	863	🥪	2017	Food & Drink	food-prepared	sandwich
\x{1F325 FE0F}	864	🌥️	2014	Travel & Places	sky & weather	sun behind large cloud
\x{1F6AA}	865	🚪	2010	Objects	household	door
\x{3299 FE0F}	866	㊙️	1995	Symbols	alphanum	Japanese “secret” button
\x{1F5DE FE0F}	867	🗞️	2014	Objects	book-paper	rolled-up newspaper
\x{1F468 200D 2695 FE0F}	868	👨‍⚕️	2016	People & Body	person-role	man health worker
\x{1F58A FE0F}	869	🖊️	2014	Objects	writing	pen
\x{2B1B}	870	⬛	2008	Symbols	geometric	black large square
\x{1F192}	871	🆒	2010	Symbols	alphanum	COOL button
\x{1F1E8 1F1FA}	872	🇨🇺	2010	Flags	country-flag	flag: Cuba
\x{1F967}	873	🥧	2017	Food & Drink	food-sweet	pie
\x{1F469 200D 2695 FE0F}	874	👩‍⚕️	2016	People & Body	person-role	woman health worker
\x{1F1F3 1F1EE}	875	🇳🇮	2010	Flags	country-flag	flag: Nicaragua
\x{1F468 200D 1F393}	876	👨‍🎓	2016	People & Body	person-role	man student
\x{1F6A7}	877	🚧	2010	Travel & Places	transport-ground	construction
\x{26D3 FE0F}	878	⛓️	2009	Objects	tool	chains
\x{1F6F5}	879	🛵	2016	Travel & Places	transport-ground	motor scooter
\x{1F945}	880	🥅	2016	Activities	sport	goal net
\x{1F685}	881	🚅	2010	Travel & Places	transport-ground	bullet train
\x{1F5BC FE0F}	882	🖼️	2014	Activities	arts & crafts	framed picture
\x{267F}	883	♿	2005	Symbols	transport-sign	wheelchair symbol
\x{1F4CF}	884	📏	2014	Objects	office	straight ruler
\x{1F004}	885	🀄	2008	Activities	game	mahjong red dragon
\x{1F58C FE0F}	886	🖌️	2014	Objects	writing	paintbrush
\x{1F99C}	887	🦜	2018	Animals & Nature	animal-bird	parrot
\x{1F250}	888	🉐	2010	Symbols	alphanum	Japanese “bargain” button
\x{1F4EC}	889	📬	2014	Objects	mail	open mailbox with raised flag
\x{1F681}	890	🚁	2010	Travel & Places	transport-air	helicopter
\x{1F5D1 FE0F}	891	🗑️	2014	Objects	office	wastebasket
\x{1F96C}	892	🥬	2018	Food & Drink	food-vegetable	leafy green
\x{1F935}	893	🤵	2016	People & Body	person-role	man in tuxedo
\x{1F3F7 FE0F}	894	🏷️	2014	Objects	book-paper	label
\x{1F321 FE0F}	895	🌡️	2010	Travel & Places	sky & weather	thermometer
\x{1F390}	896	🎐	2014	Activities	event	wind chime
\x{1F1EF 1F1F2}	897	🇯🇲	2010	Flags	country-flag	flag: Jamaica
\x{1F992}	898	🦒	2017	Animals & Nature	animal-mammal	giraffe
\x{1F392}	899	🎒	2014	Objects	clothing	backpack
\x{1F1F5 1F1FE}	900	🇵🇾	2010	Flags	country-flag	flag: Paraguay
\x{1F1FA 1F1E6}	901	🇺🇦	2010	Flags	country-flag	flag: Ukraine
\x{1F1F2 1F1E8}	902	🇲🇨	2010	Flags	country-flag	flag: Monaco
\x{1F949}	903	🥉	2016	Activities	award-medal	3rd place medal
\x{37 FE0F 20E3}	904	7️⃣	2010	Symbols	keycap	keycap: 7
\x{231B}	905	⌛	1995	Travel & Places	time	hourglass done
\x{1F312}	906	🌒	2010	Travel & Places	sky & weather	waxing crescent moon
\x{1F965}	907	🥥	2017	Food & Drink	food-fruit	coconut
\x{1F385}	908	🎅	2014	People & Body	person-fantasy	Santa Claus
\x{1F9D5}	909	🧕	2017	People & Body	person-role	woman with headscarf
\x{1F6D0}	910	🛐	2014	Symbols	religion	place of worship
\x{264B}	911	♋	1995	Symbols	zodiac	Cancer
\x{1F9D1}	912	🧑	2017	People & Body	person	person
\x{1F1E9 1F1F4}	913	🇩🇴	2010	Flags	country-flag	flag: Dominican Republic
\x{1F9B8}	914	🦸	2018	People & Body	person-fantasy	superhero
\x{1F1EE 1F1EA}	915	🇮🇪	2010	Flags	country-flag	flag: Ireland
\x{1F6F8}	916	🛸	2017	Travel & Places	transport-air	flying saucer
\x{1F9D2}	917	🧒	2017	People & Body	person	child
\x{1F469 200D 1F9B0}	918	👩‍🦰	2018	People & Body	person	woman: red hair
\x{1F4E7}	919	📧	2014	Objects	mail	e-mail
\x{1F962}	920	🥢	2017	Food & Drink	dishware	chopsticks
\x{1F3A2}	921	🎢	2014	Travel & Places	place-other	roller coaster
\x{1F42A}	922	🐪	2014	Animals & Nature	animal-mammal	camel
\x{1F1EE 1F1F1}	923	🇮🇱	2010	Flags	country-flag	flag: Israel
\x{1F468 200D 1F373}	924	👨‍🍳	2016	People & Body	person-role	man cook
\x{1F69B}	925	🚛	2010	Travel & Places	transport-ground	articulated lorry
\x{1F944}	926	🥄	2016	Food & Drink	dishware	spoon
\x{1F939}	927	🤹	2016	People & Body	person-sport	person juggling
\x{1F3E2}	928	🏢	2014	Travel & Places	place-building	office building
\x{1F488}	929	💈	2014	Travel & Places	place-other	barber pole
\x{1F458}	930	👘	2014	Objects	clothing	kimono
\x{1F1F3 1F1F4}	931	🇳🇴	2010	Flags	country-flag	flag: Norway
\x{1F1EC 1F1ED}	932	🇬🇭	2010	Flags	country-flag	flag: Ghana
\x{1F3D4 FE0F}	933	🏔️	2014	Travel & Places	place-geographic	snow-capped mountain
\x{303D FE0F}	934	〽️	2002	Symbols	other-symbol	part alternation mark
\x{1F6A6}	935	🚦	2010	Travel & Places	transport-ground	vertical traffic light
\x{1F1FF 1F1E6}	936	🇿🇦	2010	Flags	country-flag	flag: South Africa
\x{1F99E}	937	🦞	2018	Food & Drink	food-marine	lobster
\x{1F1F9 1F1F3}	938	🇹🇳	2010	Flags	country-flag	flag: Tunisia
\x{1F4BC}	939	💼	2014	Objects	office	briefcase
\x{2648}	940	♈	1995	Symbols	zodiac	Aries
\x{1F993}	941	🦓	2017	Animals & Nature	animal-mammal	zebra
\x{1F99F}	942	🦟	2018	Animals & Nature	animal-bug	mosquito
\x{1F6BB}	943	🚻	2010	Symbols	transport-sign	restroom
\x{1F3B0}	944	🎰	2014	Activities	game	slot machine
\x{25FD}	945	◽	2002	Symbols	geometric	white medium-small square
\x{1F997}	946	🦗	2017	Animals & Nature	animal-bug	cricket
\x{1F93E}	947	🤾	2016	People & Body	person-sport	person playing handball
\x{1F45A}	948	👚	2014	Objects	clothing	woman’s clothes
\x{1F461}	949	👡	2014	Objects	clothing	woman’s sandal
\x{26CF FE0F}	950	⛏️	2010	Objects	tool	pick
\x{39 FE0F 20E3}	951	9️⃣	2010	Symbols	keycap	keycap: 9
\x{1F6CE FE0F}	952	🛎️	2014	Travel & Places	hotel	bellhop bell
\x{1F417}	953	🐗	2014	Animals & Nature	animal-mammal	boar
\x{1F326 FE0F}	954	🌦️	2014	Travel & Places	sky & weather	sun behind rain cloud
\x{1F1F8 1F1E6}	955	🇸🇦	2010	Flags	country-flag	flag: Saudi Arabia
\x{1F6B9}	956	🚹	2010	Symbols	transport-sign	men’s room
\x{1F1FE 1F1EA}	957	🇾🇪	2010	Flags	country-flag	flag: Yemen
\x{262A FE0F}	958	☪️	1995	Symbols	religion	star and crescent
\x{1F93A}	959	🤺	2016	People & Body	person-sport	person fencing
\x{1F6A3}	960	🚣	2010	People & Body	person-sport	person rowing boat
\x{1F5FF}	961	🗿	2014	Objects	other-object	moai
\x{1F958}	962	🥘	2016	Food & Drink	food-prepared	shallow pan of food
\x{1F1E9 1F1F0}	963	🇩🇰	2010	Flags	country-flag	flag: Denmark
\x{1F995}	964	🦕	2017	Animals & Nature	animal-reptile	sauropod
\x{1F1F1 1F1F7}	965	🇱🇷	2010	Flags	country-flag	flag: Liberia
\x{1F3D5 FE0F}	966	🏕️	2014	Travel & Places	place-geographic	camping
\x{2623 FE0F}	967	☣️	1995	Symbols	warning	biohazard
\x{1F306}	968	🌆	2010	Travel & Places	place-other	cityscape at dusk
\x{2195 FE0F}	969	↕️	1995	Symbols	arrow	up-down arrow
\x{1F4E8}	970	📨	2014	Objects	mail	incoming envelope
\x{1F3E8}	971	🏨	2014	Travel & Places	place-building	hotel
\x{1F579 FE0F}	972	🕹️	2014	Activities	game	joystick
\x{1F469 200D 1F373}	973	👩‍🍳	2016	People & Body	person-role	woman cook
\x{1F1E8 1F1EE}	974	🇨🇮	2010	Flags	country-flag	flag: Côte d’Ivoire
\x{1F4EF}	975	📯	2014	Objects	sound	postal horn
\x{1F45C}	976	👜	2014	Objects	clothing	handbag
\x{1F3D8 FE0F}	977	🏘️	2014	Travel & Places	place-building	houses
\x{1F42B}	978	🐫	2014	Animals & Nature	animal-mammal	two-hump camel
\x{26FA}	979	⛺	2009	Travel & Places	place-other	tent
\x{1F9E9}	980	🧩	2018	Activities	game	puzzle piece
\x{1F469 200D 1F3EB}	981	👩‍🏫	2016	People & Body	person-role	woman teacher
\x{1F573 FE0F}	982	🕳️	2014	Smileys & Emotion	emotion	hole
\x{1F3EF}	983	🏯	2014	Travel & Places	place-building	Japanese castle
\x{1F313}	984	🌓	2010	Travel & Places	sky & weather	first quarter moon
\x{1F309}	985	🌉	2010	Travel & Places	place-other	bridge at night
\x{38 FE0F 20E3}	986	8️⃣	2010	Symbols	keycap	keycap: 8
\x{1F482}	987	💂	2014	People & Body	person-role	guard
\x{1F509}	988	🔉	2015	Objects	sound	speaker medium volume
\x{1F468 200D 1F469 200D 1F467 200D 1F466}	989	👨‍👩‍👧‍👦	2010	People & Body	family	family: man, woman, girl, boy
\x{1F1EA 1F1FA}	990	🇪🇺	2010	Flags	country-flag	flag: European Union
\x{1F69C}	991	🚜	2010	Travel & Places	transport-ground	tractor
\x{1F515}	992	🔕	2015	Objects	sound	bell with slash
\x{1F4E5}	993	📥	2014	Objects	mail	inbox tray
\x{1F314}	994	🌔	2010	Travel & Places	sky & weather	waxing gibbous moon
\x{1F3D9 FE0F}	995	🏙️	2014	Travel & Places	place-other	cityscape
\x{1F968}	996	🥨	2017	Food & Drink	food-prepared	pretzel
\x{1F9FC}	997	🧼	2018	Objects	household	soap
\x{1F1F2 1F1FE}	998	🇲🇾	2010	Flags	country-flag	flag: Malaysia
\x{1F4D8}	999	📘	2014	Objects	book-paper	blue book
\x{1F4D7}	1000	📗	2014	Objects	book-paper	green book
\x{1F4DC}	1001	📜	2014	Objects	book-paper	scroll
\x{1F9B5}	1002	🦵	2018	People & Body	body-parts	leg
\x{264F}	1003	♏	1995	Symbols	zodiac	Scorpio
\x{1F1E7 1F1F4}	1004	🇧🇴	2010	Flags	country-flag	flag: Bolivia
\x{1F3DC FE0F}	1005	🏜️	2014	Travel & Places	place-geographic	desert
\x{1F358}	1006	🍘	2014	Food & Drink	food-asian	rice cracker
\x{1F6EC}	1007	🛬	2014	Travel & Places	transport-air	airplane arrival
\x{1F32F}	1008	🌯	2014	Food & Drink	food-prepared	burrito
\x{1F3D7 FE0F}	1009	🏗️	2014	Travel & Places	place-building	building construction
\x{1F3F4 E0067 E0062 E0065 E006E E0067 E007F}	1010	🏴󠁧󠁢󠁥󠁮󠁧󠁿	2017	Flags	subdivision-flag	flag: England
\x{1F6BC}	1011	🚼	2010	Symbols	transport-sign	baby symbol
\x{1F3DE FE0F}	1012	🏞️	2014	Travel & Places	place-geographic	national park
\x{1F508}	1013	🔈	2015	Objects	sound	speaker low volume
\x{1F570 FE0F}	1014	🕰️	2014	Travel & Places	time	mantelpiece clock
\x{1F3D3}	1015	🏓	2014	Activities	sport	ping pong
\x{1F1E8 1F1F7}	1016	🇨🇷	2010	Flags	country-flag	flag: Costa Rica
\x{1F468 200D 1F33E}	1017	👨‍🌾	2016	People & Body	person-role	man farmer
\x{1F9B9}	1018	🦹	2018	People & Body	person-fantasy	supervillain
\x{1F983}	1019	🦃	2015	Animals & Nature	animal-bird	turkey
\x{1F526}	1020	🔦	2015	Objects	light & video	flashlight
\x{1F503}	1021	🔃	2015	Symbols	arrow	clockwise vertical arrows
\x{1F1F8 1F1FB}	1022	🇸🇻	2010	Flags	country-flag	flag: El Salvador
\x{1F6F3 FE0F}	1023	🛳️	2014	Travel & Places	transport-water	passenger ship
\x{1F318}	1024	🌘	2010	Travel & Places	sky & weather	waning crescent moon
\x{1F9F9}	1025	🧹	2018	Objects	household	broom
\x{1F1E7 1F1E9}	1026	🇧🇩	2010	Flags	country-flag	flag: Bangladesh
\x{1F9DB}	1027	🧛	2017	People & Body	person-fantasy	vampire
\x{1F469 200D 2764 FE0F 200D 1F469}	1028	👩‍❤️‍👩	2010	People & Body	family	couple with heart: woman, woman
\x{1F51A}	1029	🔚	2015	Symbols	arrow	END arrow
\x{1F51F}	1030	🔟	2015	Symbols	keycap	keycap: 10
\x{2139 FE0F}	1031	ℹ️	2000	Symbols	alphanum	information
\x{1F6E2 FE0F}	1032	🛢️	2014	Travel & Places	transport-ground	oil drum
\x{1F3F4 E0067 E0062 E0073 E0063 E0074 E007F}	1033	🏴󠁧󠁢󠁳󠁣󠁴󠁿	2017	Flags	subdivision-flag	flag: Scotland
\x{1F3F4 200D 2620 FE0F}	1034	🏴‍☠️	2018	Flags	flag	pirate flag
\x{1F1F8 1F1E9}	1035	🇸🇩	2010	Flags	country-flag	flag: Sudan
\x{1F52D}	1036	🔭	2015	Objects	science	telescope
\x{1F1EE 1F1F6}	1037	🇮🇶	2010	Flags	country-flag	flag: Iraq
\x{1F38D}	1038	🎍	2014	Activities	event	pine decoration
\x{1F9EC}	1039	🧬	2018	Objects	science	dna
\x{1F963}	1040	🥣	2017	Food & Drink	food-prepared	bowl with spoon
\x{1F317}	1041	🌗	2010	Travel & Places	sky & weather	last quarter moon
\x{2196 FE0F}	1042	↖️	1995	Symbols	arrow	up-left arrow
\x{1F3B3}	1043	🎳	2014	Activities	sport	bowling
\x{1F468 200D 2764 FE0F 200D 1F48B 200D 1F468}	1044	👨‍❤️‍💋‍👨	2010	People & Body	family	kiss: man, man
\x{1F468 200D 1F3EB}	1045	👨‍🏫	2016	People & Body	person-role	man teacher
\x{1F4C4}	1046	📄	2014	Objects	book-paper	page facing up
\x{1F1F6 1F1E6}	1047	🇶🇦	2010	Flags	country-flag	flag: Qatar
\x{1F468 200D 1F469 200D 1F467}	1048	👨‍👩‍👧	2010	People & Body	family	family: man, woman, girl
\x{1F39A FE0F}	1049	🎚️	2014	Objects	music	level slider
\x{1F6E0 FE0F}	1050	🛠️	2014	Objects	tool	hammer and wrench
\x{1F193}	1051	🆓	2010	Symbols	alphanum	FREE button
\x{1F1F5 1F1F8}	1052	🇵🇸	2010	Flags	country-flag	flag: Palestinian Territories
\x{1F99A}	1053	🦚	2018	Animals & Nature	animal-bird	peacock
\x{1F469 200D 1F9B1}	1054	👩‍🦱	2018	People & Body	person	woman: curly hair
\x{1F3DB FE0F}	1055	🏛️	2014	Travel & Places	place-building	classical building
\x{2650}	1056	♐	1995	Symbols	zodiac	Sagittarius
\x{1F9E6}	1057	🧦	2017	Objects	clothing	socks
\x{1F5FE}	1058	🗾	2014	Travel & Places	place-map	map of Japan
\x{1F469 200D 1F33E}	1059	👩‍🌾	2016	People & Body	person-role	woman farmer
\x{1F391}	1060	🎑	2014	Activities	event	moon viewing ceremony
\x{1F1EC 1F1F9}	1061	🇬🇹	2010	Flags	country-flag	flag: Guatemala
\x{1F9E4}	1062	🧤	2017	Objects	clothing	gloves
\x{1F9DD}	1063	🧝	2017	People & Body	person-fantasy	elf
\x{27BF}	1064	➿	2010	Symbols	other-symbol	double curly loop
\x{1F1FB 1F1F3}	1065	🇻🇳	2010	Flags	country-flag	flag: Vietnam
\x{1F4D2}	1066	📒	2014	Objects	book-paper	ledger
\x{2649}	1067	♉	1995	Symbols	zodiac	Taurus
\x{2653}	1068	♓	1995	Symbols	zodiac	Pisces
\x{1F6AD}	1069	🚭	2010	Symbols	warning	no smoking
\x{1F527}	1070	🔧	2015	Objects	tool	wrench
\x{1F9EA}	1071	🧪	2018	Objects	science	test tube
\x{264C}	1072	♌	1995	Symbols	zodiac	Leo
\x{21A9 FE0F}	1073	↩️	1995	Symbols	arrow	right arrow curving left
\x{2652}	1074	♒	1995	Symbols	zodiac	Aquarius
\x{1F3E6}	1075	🏦	2014	Travel & Places	place-building	bank
\x{1F235}	1076	🈵	2010	Symbols	alphanum	Japanese “no vacancy” button
\x{1F96B}	1077	🥫	2017	Food & Drink	food-prepared	canned food
\x{1F316}	1078	🌖	2010	Travel & Places	sky & weather	waning gibbous moon
\x{1F6F4}	1079	🛴	2016	Travel & Places	transport-ground	kick scooter
\x{1F696}	1080	🚖	2010	Travel & Places	transport-ground	oncoming taxi
\x{1F959}	1081	🥙	2016	Food & Drink	food-prepared	stuffed flatbread
\x{1F6F0 FE0F}	1082	🛰️	2014	Travel & Places	transport-air	satellite
\x{1F98F}	1083	🦏	2016	Animals & Nature	animal-mammal	rhinoceros
\x{1F468 200D 1F9B3}	1084	👨‍🦳	2018	People & Body	person	man: white hair
\x{1F1F8 1F1EC}	1085	🇸🇬	2010	Flags	country-flag	flag: Singapore
\x{1F9A0}	1086	🦠	2018	Animals & Nature	animal-bug	microbe
\x{23FA FE0F}	1087	⏺️	2014	Symbols	av-symbol	record button
\x{1F58D FE0F}	1088	🖍️	2014	Objects	writing	crayon
\x{26F8 FE0F}	1089	⛸️	2009	Activities	sport	ice skate
\x{1F4D9}	1090	📙	2014	Objects	book-paper	orange book
\x{1F472}	1091	👲	2014	People & Body	person-role	man with skullcap
\x{1F3C2}	1092	🏂	2014	People & Body	person-sport	snowboarder
\x{2A FE0F 20E3}	1093	*️⃣	2010	Symbols	keycap	keycap: *
\x{1F532}	1094	🔲	2015	Symbols	geometric	black square button
\x{1F1ED 1F1FA}	1095	🇭🇺	2010	Flags	country-flag	flag: Hungary
\x{1F690}	1096	🚐	2010	Travel & Places	transport-ground	minibus
\x{1F468 200D 2764 FE0F 200D 1F468}	1097	👨‍❤️‍👨	2010	People & Body	family	couple with heart: man, man
\x{1F507}	1098	🔇	2015	Objects	sound	muted speaker
\x{1F994}	1099	🦔	2017	Animals & Nature	animal-mammal	hedgehog
\x{1F52F}	1100	🔯	2015	Symbols	religion	dotted six-pointed star
\x{1F6B5}	1101	🚵	2010	People & Body	person-sport	person mountain biking
\x{1F96F}	1102	🥯	2018	Food & Drink	food-prepared	bagel
\x{1F6AF}	1103	🚯	2010	Symbols	warning	no littering
\x{1F55B}	1104	🕛	2010	Travel & Places	time	twelve o’clock
\x{1F4FC}	1105	📼	2014	Objects	light & video	videocassette
\x{1F9D3}	1106	🧓	2017	People & Body	person	older person
\x{1F39B FE0F}	1107	🎛️	2014	Objects	music	control knobs
\x{1F1E8 1F1FF}	1108	🇨🇿	2010	Flags	country-flag	flag: Czechia
\x{1F1ED 1F1F0}	1109	🇭🇰	2010	Flags	country-flag	flag: Hong Kong SAR China
\x{1F4BA}	1110	💺	2014	Travel & Places	transport-air	seat
\x{1F469 200D 1F3A4}	1111	👩‍🎤	2016	People & Body	person-role	woman singer
\x{26F2}	1112	⛲	2009	Travel & Places	place-other	fountain
\x{269B FE0F}	1113	⚛️	2005	Symbols	religion	atom symbol
\x{1F552}	1114	🕒	2010	Travel & Places	time	three o’clock
\x{1F4F6}	1115	📶	2014	Symbols	av-symbol	antenna bars
\x{1F68B}	1116	🚋	2010	Travel & Places	transport-ground	tram car
\x{1F1F1 1F1E7}	1117	🇱🇧	2010	Flags	country-flag	flag: Lebanon
\x{1F4E0}	1118	📠	2014	Objects	phone	fax machine
\x{1F687}	1119	🚇	2010	Travel & Places	transport-ground	metro
\x{1F97E}	1120	🥾	2018	Objects	clothing	hiking boot
\x{23F2 FE0F}	1121	⏲️	2010	Travel & Places	time	timer clock
\x{23EA}	1122	⏪	2010	Symbols	av-symbol	fast reverse button
\x{1F1F0 1F1FC}	1123	🇰🇼	2010	Flags	country-flag	flag: Kuwait
\x{1F9F2}	1124	🧲	2018	Objects	tool	magnet
\x{1F6C3}	1125	🛃	2010	Symbols	transport-sign	customs
\x{1F1ED 1F1F3}	1126	🇭🇳	2010	Flags	country-flag	flag: Honduras
\x{1F468 200D 2708 FE0F}	1127	👨‍✈️	2016	People & Body	person-role	man pilot
\x{1F4D3}	1128	📓	2014	Objects	book-paper	notebook
\x{1F469 200D 1F467}	1129	👩‍👧	2016	People & Body	family	family: woman, girl
\x{264E}	1130	♎	1995	Symbols	zodiac	Libra
\x{1F3D1}	1131	🏑	2014	Activities	sport	field hockey
\x{1F4CB}	1132	📋	2014	Objects	office	clipboard
\x{1F53C}	1133	🔼	2015	Symbols	av-symbol	upwards button
\x{1F1E8 1F1F5}	1134	🇨🇵	2010	Flags	country-flag	flag: Clipperton Island
\x{1F1EF 1F1F4}	1135	🇯🇴	2010	Flags	country-flag	flag: Jordan
\x{1F4C3}	1136	📃	2014	Objects	book-paper	page with curl
\x{1F9F1}	1137	🧱	2018	Travel & Places	place-building	brick
\x{1F52C}	1138	🔬	2015	Objects	science	microscope
\x{1F1EB 1F1EE}	1139	🇫🇮	2010	Flags	country-flag	flag: Finland
\x{1F6A5}	1140	🚥	2010	Travel & Places	transport-ground	horizontal traffic light
\x{1F1F1 1F1F0}	1141	🇱🇰	2010	Flags	country-flag	flag: Sri Lanka
\x{264D}	1142	♍	1995	Symbols	zodiac	Virgo
\x{1F1F5 1F1E6}	1143	🇵🇦	2010	Flags	country-flag	flag: Panama
\x{1F1F8 1F1FE}	1144	🇸🇾	2010	Flags	country-flag	flag: Syria
\x{1F6BE}	1145	🚾	2010	Symbols	transport-sign	water closet
\x{1F1ED 1F1F7}	1146	🇭🇷	2010	Flags	country-flag	flag: Croatia
\x{1F1F3 1F1FF}	1147	🇳🇿	2010	Flags	country-flag	flag: New Zealand
\x{1F68D}	1148	🚍	2010	Travel & Places	transport-ground	oncoming bus
\x{1F3F8}	1149	🏸	2014	Activities	sport	badminton
\x{1F533}	1150	🔳	2015	Symbols	geometric	white square button
\x{1F6C2}	1151	🛂	2010	Symbols	transport-sign	passport control
\x{1F4F5}	1152	📵	2014	Symbols	warning	no mobile phones
